test_id,node,test_category,test_description,test,result,failure_reason
1,leaf1,NTP,Synchronised with NTP server,NTP,FAIL,not synchronised to NTP server
2,leaf2,NTP,Synchronised with NTP server,NTP,FAIL,not synchronised to NTP server
3,leaf3,NTP,Synchronised with NTP server,NTP,FAIL,not synchronised to NTP server
4,leaf4,NTP,Synchronised with NTP server,NTP,FAIL,not synchronised to NTP server
5,spine1,NTP,Synchronised with NTP server,NTP,FAIL,not synchronised to NTP server
6,spine2,NTP,Synchronised with NTP server,NTP,FAIL,not synchronised to NTP server
7,leaf1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet49/1 - P2P_LINK_TO_SPINE1_Ethernet1/1,PASS,
8,leaf1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet50/1 - P2P_LINK_TO_SPINE2_Ethernet1/1,PASS,
9,leaf1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1/1 - host11_leaf1_Ethernet1/1,PASS,
10,leaf1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1/2 - host12_leaf1_Ethernet1/2,PASS,
11,leaf2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet49/1 - P2P_LINK_TO_SPINE1_Ethernet2/1,PASS,
12,leaf2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet50/1 - P2P_LINK_TO_SPINE2_Ethernet2/1,PASS,
13,leaf2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1/1 - host11_leaf2_Ethernet1/1,PASS,
14,leaf2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1/2 - host12_leaf2_Ethernet1/2,PASS,
15,leaf3,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet49/1 - P2P_LINK_TO_SPINE1_Ethernet3/1,PASS,
16,leaf3,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet50/1 - P2P_LINK_TO_SPINE2_Ethernet3/1,PASS,
17,leaf3,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1/1 - host21_leaf3_Ethernet1/1,PASS,
18,leaf3,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1/2 - host22_leaf3_Ethernet1/2,PASS,
19,leaf4,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet49/1 - P2P_LINK_TO_SPINE1_Ethernet4/1,PASS,
20,leaf4,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet50/1 - P2P_LINK_TO_SPINE2_Ethernet4/1,PASS,
21,leaf4,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1/1 - host21_leaf4_Ethernet1/1,PASS,
22,leaf4,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1/2 - host22_leaf4_Ethernet1/2,PASS,
23,spine1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1/1 - P2P_LINK_TO_LEAF1_Ethernet49/1,PASS,
24,spine1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2/1 - P2P_LINK_TO_LEAF2_Ethernet49/1,PASS,
25,spine1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3/1 - P2P_LINK_TO_LEAF3_Ethernet49/1,PASS,
26,spine1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet4/1 - P2P_LINK_TO_LEAF4_Ethernet49/1,PASS,
27,spine2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1/1 - P2P_LINK_TO_LEAF1_Ethernet50/1,PASS,
28,spine2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2/1 - P2P_LINK_TO_LEAF2_Ethernet50/1,PASS,
29,spine2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3/1 - P2P_LINK_TO_LEAF3_Ethernet50/1,PASS,
30,spine2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet4/1 - P2P_LINK_TO_LEAF4_Ethernet50/1,PASS,
31,leaf1,Interface State,Port-Channel Interface Status & Line Protocol == "up",Port-Channel11 - host11_leaf1_to_host11,PASS,
32,leaf1,Interface State,Port-Channel Interface Status & Line Protocol == "up",Port-Channel12 - host12_leaf3_to_host12,PASS,
33,leaf2,Interface State,Port-Channel Interface Status & Line Protocol == "up",Port-Channel11 - host11_leaf1_to_host11,PASS,
34,leaf2,Interface State,Port-Channel Interface Status & Line Protocol == "up",Port-Channel12 - host12_leaf3_to_host12,PASS,
35,leaf3,Interface State,Port-Channel Interface Status & Line Protocol == "up",Port-Channel11 - host21_leaf3_to_host21,PASS,
36,leaf3,Interface State,Port-Channel Interface Status & Line Protocol == "up",Port-Channel12 - host22_leaf3_to_host22,PASS,
